date,topic,article_name,url,media_name,extraction_date
2020-05-06,sociedad,habia perdido un hermano hace poco y estuvo secuestrado en sierra leona: quien era el medico argentino que murio en tanzania ,https://www.clarin.com/sociedad/perdido-hermano-hace-secuestrado-sierra-leona-medico-argentino-murio-tanzania_0_s52xoYybm.html,clarin,2020-05-06
2020-05-06,mundo,coronavirus: el cientifico que cayo por ver a su amante ,https://www.clarin.com/mundo/coronavirus-cientifico-cayo-ver-amante_0_gvsqL6KZ9.html,clarin,2020-05-06
2020-05-06,deportes,"ni gallardo ni bianchi, ni bilardo ni menotti: quienes son los dos entrenadores argentinos elegidos entre los 50 mejores de la historia? ",https://www.clarin.com/deportes/gallardo-bianchi-bilardo-menotti-entrenadores-argentinos-elegidos-50-mejores-historia-_0_8NLOD5xel.html,clarin,2020-05-06
2020-05-06,buena-vida,plan semanal de ravenna para bajar de peso durante la cuarentena ,https://www.clarin.com/buena-vida/plan-semanal-ravenna-bajar-peso-cuarentena_0_YmXn3iCxx.html,clarin,2020-05-06
2020-04-30,brandstudio,un grupo de influencers fomenta la importancia del lavado de manos ,https://www.clarin.com/brandstudio/grupo-influencers-fomenta-importancia-lavado-manos_0_hUSA-AZrB.html,clarin,2020-05-06
2020-05-05,cultura,"al reves que ""poco ortodoxa"": la mujer que entro al mundo de los judios religiosos en la argentina ",https://www.clarin.com/cultura/reves-ortodoxa-mujer-entro-mundo-judios-religiosos-argentina_0_9MePLm982.html,clarin,2020-05-06
2020-05-06,fama,el atleta federico molinari improviso una increible tecnica para sacar el lingote e hizo delirar a guido kaczka ,https://www.clarin.com/fama/atleta-federico-molinari-improviso-increible-tecnica-sacar-lingote-hizo-delirar-guido-kaczka_0_DbPXdiE7f.html,clarin,2020-05-06
2020-05-06,fama,"reina reech se quebro al relatar su complicada situacion: ""tal vez tenga que hipotecar algo"" ",https://www.clarin.com/fama/reina-reech-quebro-relatar-complicada-situacion-vez-hipotecar-_0_HWrqT1YVZ.html,clarin,2020-05-06
2020-05-06,fama,"nicole neumann y una confesion sobre una escena con joaquin furriel: ""en un beso se me escapo la lengua"" ",https://www.clarin.com/fama/nicole-neumann-confesion-escena-joaquin-furriel-beso-escapo-lengua-_0_pGIVhhZYw.html,clarin,2020-05-06
2020-05-05,fama,ivana icardi recibio el resultado de su test de embarazo tras tener sexo en un reality ,https://www.clarin.com/fama/ivana-icardi-recibio-resultado-test-embarazo-tener-sexo-reality_0_yQ84iq3OZ.html,clarin,2020-05-06
2020-05-05,fama,marina calabro revelo el secreto que compartian mirtha legrand y su hermana goldy ,https://www.clarin.com/fama/marina-calabro-revelo-secreto-compartian-mirtha-legrand-hermana-goldy_0_9XSQlE41K.html,clarin,2020-05-06
2020-05-05,fama,federico bal hablo de cual cree que fue el origen de su enfermedad y menciono a barbie velez ,https://www.clarin.com/fama/federico-bal-hablo-cree-origen-enfermedad-menciono-barbie-velez_0_8dFejdLRw.html,clarin,2020-05-06
2020-05-05,opinion,juego on line en la ciudad: el juez que tiene todos los humeros,https://www.clarin.com/opinion/juez-numeros_0_zVlowBh0w.html,clarin,2020-05-06
2020-05-05,opinion,"el gobierno quiere saber quien compro dolares en el ""contado con liqui"" ",https://www.clarin.com/opinion/gobierno-quiere-saber-compro-dolares-contado-liqui-_0_VHT7WTRoO.html,clarin,2020-05-06
2020-05-05,opinion,la posguerra del coronavirus ,https://www.clarin.com/opinion/posguerra-coronavirus_0_eCG3s4aIb.html,clarin,2020-05-06
2020-05-05,opinion,aprendizajes del covid 19: un fondo para el impacto de la salud ,https://www.clarin.com/opinion/aprendizajes-covid-19-fondo-impacto-salud_0_k8ZS4Ia8-.html,clarin,2020-05-06
2020-05-05,opinion,respuestas a la pandemia: la experiencia de alemania ,https://www.clarin.com/opinion/respuestas-pandemia-experiencia-alemania_0_w4UQ8q7ZV.html,clarin,2020-05-06
2020-05-06,politica,el summum de la grieta: cristina kirchner tiene 0% de imagen positiva entre los macristas ,https://www.clarin.com/politica/summum-grieta-cristina-kirchner-0-imagen-positiva-macristas_0__9l9JyUCK.html,clarin,2020-05-06
